site,seed,model_exists,vecnorm_exists,model_time,vecnorm_time,model_mb,vecnorm_kb
site1,42,True,True,2026-05-10 11:26:10,2026-05-10 11:26:10,1.62,2.2
site1,123,True,True,2026-05-20 00:29:58,2026-05-20 00:29:58,1.63,2.2
site1,777,True,True,2026-05-20 00:40:49,2026-05-20 00:40:49,1.63,2.2
site1,7,True,True,2026-05-20 00:51:33,2026-05-20 00:51:33,1.63,2.2
site1,13,True,True,2026-05-20 01:01:52,2026-05-20 01:01:52,1.63,2.2
site1,21,True,True,2026-05-20 01:12:13,2026-05-20 01:12:13,1.63,2.2
site1,99,True,True,2026-05-20 01:22:34,2026-05-20 01:22:34,1.63,2.2
site1,314,True,True,2026-05-20 01:32:54,2026-05-20 01:32:54,1.63,2.2
site1,500,True,True,2026-05-20 01:43:15,2026-05-20 01:43:15,1.63,2.2
site1,999,True,True,2026-05-20 01:53:40,2026-05-20 01:53:40,1.63,2.2
site2,42,True,True,2026-05-20 02:04:01,2026-05-20 02:04:01,1.63,2.2
site2,123,True,True,2026-05-20 02:14:25,2026-05-20 02:14:25,1.63,2.2
site2,777,True,True,2026-05-20 02:24:41,2026-05-20 02:24:41,1.63,2.2
site2,7,True,True,2026-05-20 02:34:55,2026-05-20 02:34:55,1.63,2.2
site2,13,True,True,2026-05-20 02:45:05,2026-05-20 02:45:05,1.63,2.2
site2,21,True,True,2026-05-20 02:55:21,2026-05-20 02:55:21,1.63,2.2
site2,99,True,True,2026-05-20 03:05:31,2026-05-20 03:05:31,1.63,2.2
site2,314,True,True,2026-05-20 03:15:44,2026-05-20 03:15:44,1.63,2.2
site2,500,True,True,2026-05-20 03:25:59,2026-05-20 03:25:59,1.63,2.2
site2,999,True,True,2026-05-20 03:36:08,2026-05-20 03:36:08,1.63,2.2
site3,42,True,True,2026-05-20 03:46:19,2026-05-20 03:46:19,1.63,2.2
site3,123,True,True,2026-05-20 03:56:29,2026-05-20 03:56:29,1.63,2.2
site3,777,True,True,2026-05-20 04:06:40,2026-05-20 04:06:40,1.63,2.2
site3,7,True,True,2026-05-20 04:16:54,2026-05-20 04:16:54,1.63,2.2
site3,13,True,True,2026-05-20 04:27:06,2026-05-20 04:27:06,1.63,2.2
site3,21,True,True,2026-05-20 04:37:24,2026-05-20 04:37:24,1.63,2.2
site3,99,True,True,2026-05-20 04:47:42,2026-05-20 04:47:42,1.63,2.2
site3,314,True,True,2026-05-20 04:58:06,2026-05-20 04:58:06,1.63,2.2
site3,500,True,True,2026-05-20 05:08:22,2026-05-20 05:08:22,1.63,2.2
site3,999,True,True,2026-05-20 05:18:51,2026-05-20 05:18:51,1.63,2.2
site4,42,True,True,2026-05-20 05:29:10,2026-05-20 05:29:10,1.63,2.2
site4,123,True,True,2026-05-20 05:39:27,2026-05-20 05:39:27,1.63,2.2
site4,777,True,True,2026-05-20 05:49:46,2026-05-20 05:49:46,1.63,2.2
site4,7,True,True,2026-05-20 06:00:21,2026-05-20 06:00:21,1.63,2.2
site4,13,True,True,2026-05-20 06:10:44,2026-05-20 06:10:44,1.63,2.2
site4,21,True,True,2026-05-20 06:21:16,2026-05-20 06:21:16,1.63,2.2
site4,99,True,True,2026-05-20 06:31:38,2026-05-20 06:31:38,1.63,2.2
site4,314,True,True,2026-05-20 06:41:57,2026-05-20 06:41:57,1.63,2.2
site4,500,True,True,2026-05-20 06:52:14,2026-05-20 06:52:14,1.63,2.2
site4,999,True,True,2026-05-20 07:02:33,2026-05-20 07:02:33,1.63,2.2
site5,42,True,True,2026-05-20 00:08:16,2026-05-20 00:08:16,1.62,2.2
site5,123,True,True,2026-05-20 00:08:53,2026-05-20 00:08:53,1.62,2.2
site5,777,True,True,2026-05-20 00:09:39,2026-05-20 00:09:39,1.62,2.2
site5,7,True,True,2026-05-20 00:10:37,2026-05-20 00:10:37,1.62,2.2
site5,13,True,True,2026-05-20 00:11:30,2026-05-20 00:11:30,1.62,2.2
site5,21,True,True,2026-05-20 00:12:19,2026-05-20 00:12:19,1.62,2.2
site5,99,True,True,2026-05-20 00:13:09,2026-05-20 00:13:09,1.62,2.2
site5,314,True,True,2026-05-20 00:13:57,2026-05-20 00:13:57,1.62,2.2
site5,500,True,True,2026-05-20 00:14:47,2026-05-20 00:14:47,1.62,2.2
site5,999,True,True,2026-05-20 00:15:38,2026-05-20 00:15:38,1.62,2.2
site6,42,True,True,2026-05-20 07:12:55,2026-05-20 07:12:55,1.63,2.2
site6,123,True,True,2026-05-20 07:24:16,2026-05-20 07:24:16,1.63,2.2
site6,777,True,True,2026-05-20 07:34:47,2026-05-20 07:34:47,1.63,2.2
site6,7,True,True,2026-05-20 07:45:08,2026-05-20 07:45:08,1.63,2.2
site6,13,True,True,2026-05-20 07:55:31,2026-05-20 07:55:31,1.63,2.2
site6,21,True,True,2026-05-20 08:05:53,2026-05-20 08:05:53,1.63,2.2
site6,99,True,True,2026-05-20 08:16:19,2026-05-20 08:16:19,1.63,2.2
site6,314,True,True,2026-05-20 08:27:07,2026-05-20 08:27:07,1.63,2.2
site6,500,True,True,2026-05-20 08:37:47,2026-05-20 08:37:47,1.63,2.2
site6,999,True,True,2026-05-20 08:48:31,2026-05-20 08:48:31,1.63,2.2
site7,42,True,True,2026-05-20 08:59:40,2026-05-20 08:59:40,1.63,2.2
site7,123,True,True,2026-05-20 09:12:03,2026-05-20 09:12:03,1.63,2.2
site7,777,True,True,2026-05-20 09:22:52,2026-05-20 09:22:52,1.63,2.2
site7,7,True,True,2026-05-20 09:33:04,2026-05-20 09:33:04,1.63,2.2
site7,13,True,True,2026-05-20 09:43:31,2026-05-20 09:43:31,1.63,2.2
site7,21,True,True,2026-05-20 09:55:01,2026-05-20 09:55:01,1.63,2.2
site7,99,True,True,2026-05-20 10:09:11,2026-05-20 10:09:11,1.63,2.2
site7,314,True,True,2026-05-20 10:23:37,2026-05-20 10:23:37,1.63,2.2
site7,500,True,True,2026-05-20 10:39:27,2026-05-20 10:39:27,1.63,2.2
site7,999,True,True,2026-05-20 10:55:13,2026-05-20 10:55:13,1.63,2.2
site8,42,True,True,2026-05-20 11:10:52,2026-05-20 11:10:52,1.63,2.2
site8,123,True,True,2026-05-20 11:26:11,2026-05-20 11:26:11,1.63,2.2
site8,777,True,True,2026-05-20 11:40:19,2026-05-20 11:40:19,1.63,2.2
site8,7,True,True,2026-05-20 13:50:23,2026-05-20 13:50:23,1.63,2.2
site8,13,True,True,2026-05-20 14:00:45,2026-05-20 14:00:45,1.63,2.2
site8,21,True,True,2026-05-20 14:11:37,2026-05-20 14:11:37,1.63,2.2
site8,99,True,True,2026-05-20 14:22:49,2026-05-20 14:22:49,1.63,2.2
site8,314,True,True,2026-05-20 14:33:59,2026-05-20 14:33:59,1.63,2.2
site8,500,True,True,2026-05-20 14:45:13,2026-05-20 14:45:13,1.63,2.2
site8,999,True,True,2026-05-20 14:55:59,2026-05-20 14:55:59,1.63,2.2
site9,42,True,True,2026-05-20 15:06:36,2026-05-20 15:06:36,1.63,2.2
site9,123,True,True,2026-05-20 15:16:59,2026-05-20 15:16:59,1.63,2.2
site9,777,True,True,2026-05-20 15:27:22,2026-05-20 15:27:22,1.63,2.2
site9,7,True,True,2026-05-20 15:40:16,2026-05-20 15:40:16,1.63,2.2
site9,13,True,True,2026-05-20 15:53:27,2026-05-20 15:53:27,1.63,2.2
site9,21,True,True,2026-05-20 16:06:39,2026-05-20 16:06:39,1.63,2.2
site9,99,True,True,2026-05-20 16:19:53,2026-05-20 16:19:53,1.63,2.2
site9,314,True,True,2026-05-20 16:33:06,2026-05-20 16:33:06,1.63,2.2
site9,500,True,True,2026-05-20 16:46:20,2026-05-20 16:46:20,1.63,2.2
site9,999,True,True,2026-05-20 16:59:34,2026-05-20 16:59:34,1.63,2.2
site10,42,True,True,2026-05-20 17:12:48,2026-05-20 17:12:48,1.63,2.2
site10,123,True,True,2026-05-20 17:26:01,2026-05-20 17:26:01,1.63,2.2
site10,777,True,True,2026-05-20 17:39:13,2026-05-20 17:39:13,1.63,2.2
site10,7,True,True,2026-05-20 17:52:26,2026-05-20 17:52:26,1.63,2.2
site10,13,True,True,2026-05-20 18:05:43,2026-05-20 18:05:43,1.63,2.2
site10,21,True,True,2026-05-20 18:19:07,2026-05-20 18:19:07,1.63,2.2
site10,99,True,True,2026-05-20 18:32:26,2026-05-20 18:32:26,1.63,2.2
site10,314,True,True,2026-05-20 18:45:51,2026-05-20 18:45:51,1.63,2.2
site10,500,True,True,2026-05-20 18:57:11,2026-05-20 18:57:11,1.63,2.2
site10,999,True,True,2026-05-20 19:08:06,2026-05-20 19:08:06,1.63,2.2
